wage,educ,exper,female,married
3.1,11.0,2.0,1.0,0.0
3.24,12.0,22.0,1.0,1.0
3.0,11.0,2.0,0.0,0.0
6.0,8.0,44.0,0.0,1.0
5.3,12.0,7.0,0.0,1.0
8.75,16.0,9.0,0.0,1.0
11.25,18.0,15.0,0.0,0.0
5.0,12.0,5.0,1.0,0.0
3.6,12.0,26.0,1.0,0.0
18.18,17.0,22.0,0.0,1.0
6.25,16.0,8.0,1.0,0.0
8.13,13.0,3.0,1.0,0.0
8.77,12.0,15.0,0.0,1.0
5.5,12.0,18.0,0.0,0.0
22.2,12.0,31.0,0.0,1.0
17.33,16.0,14.0,0.0,1.0
7.5,12.0,10.0,1.0,1.0
10.63,13.0,16.0,1.0,0.0
3.6,12.0,13.0,1.0,1.0
4.5,12.0,36.0,1.0,1.0
6.88,12.0,11.0,1.0,0.0
8.48,12.0,29.0,0.0,1.0
6.33,16.0,9.0,1.0,0.0
0.53,12.0,3.0,1.0,0.0
6.0,11.0,37.0,1.0,0.0
9.56,16.0,3.0,0.0,1.0
7.78,16.0,11.0,0.0,1.0
12.5,16.0,31.0,0.0,1.0
12.5,15.0,30.0,0.0,1.0
3.25,8.0,9.0,1.0,1.0
13.0,14.0,23.0,0.0,1.0
4.5,14.0,2.0,1.0,0.0
9.68,13.0,16.0,1.0,0.0
5.0,12.0,7.0,1.0,0.0
4.68,12.0,3.0,1.0,0.0
4.27,16.0,22.0,1.0,1.0
6.15,12.0,15.0,1.0,1.0
3.51,4.0,39.0,0.0,1.0
3.0,14.0,3.0,1.0,1.0
6.25,12.0,11.0,1.0,0.0
7.81,12.0,3.0,1.0,1.0
10.0,12.0,20.0,1.0,1.0
4.5,14.0,16.0,1.0,1.0
4.0,11.0,45.0,1.0,1.0
6.38,13.0,11.0,1.0,0.0
13.7,15.0,20.0,0.0,1.0
1.67,10.0,1.0,0.0,0.0
2.93,12.0,36.0,1.0,1.0
3.65,14.0,9.0,0.0,0.0
2.9,12.0,15.0,1.0,1.0
1.63,12.0,18.0,1.0,0.0
8.6,16.0,3.0,1.0,0.0
5.0,12.0,15.0,0.0,1.0
6.0,12.0,7.0,0.0,1.0
2.5,12.0,2.0,0.0,0.0
3.25,15.0,3.0,0.0,0.0
3.4,16.0,1.0,1.0,0.0
10.0,8.0,13.0,0.0,0.0
21.63,18.0,8.0,1.0,0.0
4.38,16.0,7.0,0.0,0.0
11.71,13.0,40.0,1.0,0.0
12.39,14.0,42.0,0.0,0.0
6.25,10.0,36.0,0.0,0.0
3.71,10.0,13.0,1.0,0.0
7.78,14.0,9.0,0.0,0.0
19.98,14.0,26.0,0.0,1.0
6.25,16.0,7.0,1.0,1.0
10.0,12.0,25.0,0.0,1.0
5.71,16.0,10.0,0.0,1.0
2.0,12.0,3.0,1.0,0.0
5.71,16.0,3.0,1.0,0.0
13.08,17.0,17.0,0.0,1.0
4.91,12.0,17.0,0.0,1.0
2.91,12.0,20.0,1.0,1.0
3.75,12.0,7.0,1.0,1.0
11.9,13.0,24.0,0.0,1.0
4.0,12.0,28.0,1.0,1.0
3.1,12.0,2.0,1.0,0.0
8.45,12.0,19.0,0.0,1.0
7.14,18.0,13.0,0.0,1.0
4.5,9.0,22.0,0.0,1.0
4.65,16.0,3.0,0.0,0.0
2.9,10.0,4.0,1.0,0.0
6.67,12.0,7.0,0.0,0.0
3.5,12.0,6.0,1.0,0.0
3.26,12.0,13.0,1.0,1.0
3.25,12.0,14.0,1.0,1.0
8.0,12.0,14.0,1.0,0.0
9.85,8.0,40.0,0.0,1.0
7.5,12.0,11.0,0.0,1.0
5.91,12.0,14.0,0.0,1.0
11.76,14.0,40.0,0.0,1.0
3.0,12.0,1.0,1.0,0.0
4.81,12.0,2.0,1.0,0.0
6.5,12.0,4.0,1.0,0.0
4.0,9.0,19.0,1.0,1.0
3.5,13.0,1.0,0.0,0.0
13.16,12.0,34.0,0.0,1.0
4.25,14.0,5.0,0.0,1.0
3.5,12.0,3.0,0.0,0.0
5.13,15.0,6.0,1.0,0.0
3.75,12.0,14.0,1.0,1.0
4.5,12.0,35.0,1.0,1.0
7.63,12.0,8.0,1.0,0.0
15.0,14.0,7.0,0.0,1.0
6.85,15.0,11.0,1.0,1.0
13.33,12.0,14.0,0.0,1.0
6.67,12.0,35.0,0.0,0.0
2.53,12.0,46.0,1.0,0.0
9.8,17.0,7.0,0.0,1.0
3.37,11.0,45.0,0.0,1.0
24.98,18.0,29.0,0.0,1.0
5.4,12.0,6.0,0.0,1.0
6.11,14.0,15.0,0.0,1.0
4.2,14.0,33.0,1.0,1.0
3.75,10.0,15.0,0.0,0.0
3.5,14.0,5.0,1.0,1.0
3.64,12.0,7.0,0.0,0.0
3.8,15.0,6.0,0.0,1.0
3.0,8.0,33.0,1.0,1.0
5.0,16.0,2.0,1.0,1.0
4.63,14.0,4.0,1.0,1.0
3.0,15.0,1.0,0.0,0.0
3.2,12.0,29.0,1.0,0.0
3.91,18.0,17.0,0.0,1.0
6.43,16.0,17.0,1.0,1.0
5.48,10.0,36.0,1.0,1.0
1.5,8.0,31.0,0.0,0.0
2.9,10.0,23.0,1.0,0.0
5.0,11.0,13.0,0.0,1.0
8.92,18.0,3.0,0.0,1.0
5.0,15.0,15.0,0.0,0.0
3.52,12.0,48.0,0.0,1.0
2.9,11.0,6.0,1.0,0.0
4.5,12.0,12.0,0.0,1.0
2.25,12.0,5.0,1.0,0.0
5.0,14.0,19.0,0.0,1.0
10.0,16.0,9.0,0.0,1.0
3.75,2.0,39.0,0.0,1.0
10.0,14.0,28.0,1.0,1.0
10.95,16.0,23.0,0.0,1.0
7.9,12.0,2.0,0.0,0.0
4.72,12.0,15.0,1.0,0.0
5.84,13.0,5.0,1.0,1.0
3.83,12.0,18.0,1.0,0.0
3.2,15.0,2.0,1.0,0.0
2.0,10.0,3.0,1.0,0.0
4.5,12.0,31.0,1.0,1.0
11.55,16.0,20.0,1.0,1.0
2.14,13.0,34.0,1.0,1.0
2.38,9.0,5.0,0.0,0.0
3.75,12.0,11.0,0.0,0.0
5.52,13.0,31.0,0.0,0.0
6.5,12.0,8.0,1.0,1.0
3.1,12.0,2.0,1.0,0.0
10.0,14.0,18.0,0.0,1.0
6.63,16.0,3.0,0.0,1.0
10.0,16.0,3.0,0.0,1.0
2.31,9.0,4.0,1.0,0.0
6.88,18.0,4.0,0.0,0.0
2.83,10.0,1.0,0.0,0.0
3.13,10.0,1.0,1.0,0.0
8.0,13.0,28.0,0.0,1.0
4.5,12.0,47.0,1.0,1.0
8.65,18.0,13.0,1.0,0.0
2.0,13.0,2.0,1.0,0.0
4.75,12.0,48.0,1.0,1.0
6.25,13.0,6.0,1.0,1.0
6.0,13.0,8.0,0.0,1.0
15.38,13.0,25.0,0.0,1.0
14.58,18.0,13.0,1.0,0.0
12.5,12.0,8.0,0.0,0.0
5.25,12.0,19.0,1.0,1.0
2.17,13.0,1.0,1.0,0.0
7.14,12.0,43.0,1.0,0.0
6.22,12.0,19.0,1.0,1.0
9.0,12.0,11.0,1.0,1.0
10.0,14.0,43.0,0.0,1.0
5.77,10.0,44.0,0.0,1.0
4.0,12.0,22.0,1.0,1.0
8.75,16.0,3.0,0.0,1.0
6.53,16.0,3.0,1.0,0.0
7.6,12.0,41.0,1.0,0.0
5.0,14.0,5.0,0.0,0.0
5.0,12.0,14.0,1.0,0.0
21.86,12.0,24.0,0.0,1.0
8.64,12.0,28.0,0.0,1.0
3.3,12.0,25.0,0.0,1.0
4.44,12.0,3.0,0.0,0.0
4.55,12.0,11.0,0.0,1.0
3.5,12.0,7.0,1.0,1.0
6.25,16.0,9.0,0.0,1.0
3.85,16.0,5.0,0.0,1.0
6.18,14.0,9.0,1.0,1.0
2.91,11.0,1.0,1.0,0.0
6.25,16.0,2.0,1.0,0.0
6.25,12.0,13.0,1.0,1.0
9.05,12.0,10.0,0.0,1.0
10.0,17.0,5.0,0.0,1.0
11.11,12.0,30.0,0.0,1.0
6.88,12.0,31.0,0.0,1.0
8.75,16.0,1.0,0.0,0.0
10.0,8.0,9.0,0.0,1.0
3.05,12.0,10.0,1.0,1.0
3.0,12.0,38.0,1.0,1.0
5.8,12.0,19.0,1.0,1.0
4.1,16.0,5.0,1.0,1.0
8.0,12.0,26.0,0.0,1.0
6.15,12.0,35.0,1.0,0.0
2.7,9.0,2.0,1.0,0.0
2.75,13.0,1.0,1.0,0.0
3.0,16.0,19.0,1.0,1.0
3.0,14.0,3.0,1.0,0.0
7.36,8.0,36.0,0.0,1.0
7.5,14.0,29.0,0.0,1.0
3.5,13.0,1.0,0.0,0.0
8.1,12.0,38.0,1.0,1.0
3.75,18.0,1.0,0.0,0.0
3.25,9.0,29.0,0.0,1.0
5.83,8.0,36.0,1.0,1.0
3.5,8.0,4.0,0.0,0.0
3.33,12.0,45.0,1.0,1.0
4.0,14.0,22.0,1.0,0.0
3.5,12.0,20.0,1.0,1.0
6.25,16.0,5.0,0.0,1.0
2.95,8.0,15.0,1.0,1.0
5.71,13.0,10.0,1.0,1.0
3.0,9.0,3.0,1.0,0.0
22.86,16.0,16.0,0.0,1.0
9.0,12.0,38.0,0.0,1.0
8.33,15.0,33.0,0.0,1.0
3.0,11.0,2.0,0.0,0.0
5.75,14.0,6.0,0.0,1.0
6.76,12.0,19.0,0.0,1.0
10.0,12.0,29.0,0.0,1.0
3.0,12.0,2.0,0.0,0.0
3.5,18.0,3.0,1.0,0.0
3.25,12.0,4.0,0.0,0.0
4.0,12.0,10.0,1.0,0.0
2.92,12.0,4.0,1.0,0.0
3.06,12.0,14.0,1.0,0.0
3.2,12.0,15.0,1.0,1.0
4.75,12.0,19.0,0.0,1.0
3.0,14.0,17.0,1.0,1.0
18.16,16.0,29.0,0.0,1.0
3.5,12.0,2.0,1.0,0.0
4.11,14.0,5.0,0.0,0.0
1.96,11.0,38.0,1.0,0.0
4.29,12.0,3.0,1.0,0.0
3.0,10.0,47.0,0.0,0.0
6.45,12.0,7.0,0.0,1.0
5.2,6.0,47.0,0.0,1.0
4.5,13.0,23.0,1.0,0.0
3.88,12.0,12.0,0.0,1.0
3.45,10.0,11.0,1.0,0.0
10.91,12.0,25.0,0.0,0.0
4.1,14.0,6.0,1.0,1.0
3.0,13.0,3.0,0.0,0.0
5.9,12.0,14.0,0.0,1.0
18.0,18.0,13.0,1.0,0.0
4.0,12.0,9.0,0.0,0.0
3.0,12.0,1.0,0.0,0.0
3.55,12.0,6.0,1.0,1.0
3.0,12.0,11.0,1.0,1.0
8.75,12.0,47.0,0.0,1.0
2.9,8.0,49.0,1.0,0.0
6.26,13.0,37.0,1.0,1.0
3.5,13.0,2.0,1.0,0.0
4.6,14.0,7.0,1.0,1.0
6.0,12.0,22.0,0.0,0.0
2.89,10.0,8.0,1.0,0.0
5.58,16.0,1.0,0.0,1.0
4.0,12.0,43.0,1.0,1.0
6.0,16.0,2.0,0.0,0.0
4.5,12.0,2.0,1.0,0.0
2.92,14.0,1.0,0.0,0.0
4.33,18.0,1.0,0.0,0.0
18.89,17.0,26.0,0.0,1.0
4.28,13.0,1.0,1.0,0.0
4.57,14.0,37.0,1.0,1.0
6.25,15.0,12.0,1.0,1.0
2.95,14.0,41.0,0.0,1.0
8.75,12.0,24.0,0.0,0.0
8.5,8.0,38.0,0.0,0.0
3.75,12.0,18.0,1.0,1.0
3.15,12.0,26.0,0.0,1.0
5.0,8.0,45.0,0.0,0.0
6.46,12.0,27.0,0.0,1.0
2.0,9.0,2.0,0.0,0.0
4.79,12.0,41.0,0.0,1.0
5.78,16.0,11.0,0.0,1.0
3.18,12.0,5.0,1.0,1.0
4.68,16.0,3.0,1.0,0.0
4.1,12.0,3.0,1.0,0.0
2.91,12.0,4.0,0.0,1.0
6.0,13.0,21.0,0.0,1.0
3.6,10.0,34.0,1.0,1.0
3.95,6.0,49.0,0.0,1.0
7.0,12.0,6.0,0.0,1.0
3.0,12.0,26.0,1.0,1.0
6.08,16.0,9.0,0.0,0.0
8.63,12.0,23.0,0.0,1.0
3.0,8.0,33.0,0.0,1.0
3.75,12.0,5.0,1.0,1.0
2.9,6.0,49.0,0.0,1.0
3.0,4.0,48.0,0.0,1.0
6.25,11.0,35.0,0.0,1.0
3.5,11.0,23.0,1.0,0.0
3.0,7.0,26.0,1.0,0.0
3.24,12.0,16.0,1.0,1.0
8.02,18.0,23.0,1.0,1.0
3.33,12.0,36.0,1.0,1.0
5.25,16.0,4.0,0.0,0.0
6.25,12.0,10.0,0.0,1.0
3.5,14.0,18.0,0.0,1.0
2.95,12.0,3.0,0.0,0.0
3.0,10.0,7.0,1.0,1.0
4.69,10.0,7.0,0.0,0.0
3.73,9.0,33.0,1.0,0.0
4.0,10.0,34.0,0.0,1.0
4.0,12.0,8.0,1.0,1.0
2.9,12.0,17.0,1.0,1.0
3.05,12.0,2.0,1.0,0.0
5.05,10.0,5.0,1.0,0.0
13.95,16.0,41.0,0.0,1.0
18.16,16.0,35.0,0.0,1.0
6.25,16.0,11.0,0.0,0.0
5.25,12.0,4.0,0.0,0.0
4.79,12.0,12.0,1.0,1.0
3.35,7.0,35.0,1.0,0.0
3.0,8.0,33.0,0.0,1.0
8.43,16.0,8.0,0.0,1.0
5.7,16.0,2.0,0.0,0.0
11.98,18.0,8.0,0.0,1.0
3.5,13.0,29.0,1.0,1.0
4.24,10.0,14.0,0.0,1.0
7.0,16.0,26.0,1.0,1.0
6.0,14.0,11.0,1.0,1.0
12.22,16.0,10.0,0.0,0.0
4.5,12.0,13.0,0.0,1.0
3.0,9.0,23.0,1.0,1.0
2.9,11.0,1.0,0.0,0.0
15.0,11.0,35.0,0.0,1.0
4.0,12.0,5.0,0.0,1.0
5.25,11.0,13.0,0.0,1.0
4.0,12.0,22.0,0.0,1.0
3.3,12.0,21.0,1.0,1.0
5.05,12.0,19.0,1.0,1.0
3.58,12.0,13.0,0.0,0.0
5.0,14.0,15.0,0.0,1.0
4.57,14.0,3.0,0.0,1.0
12.5,18.0,6.0,0.0,0.0
3.45,12.0,6.0,1.0,1.0
4.63,12.0,16.0,1.0,0.0
10.0,12.0,31.0,0.0,1.0
2.92,11.0,1.0,1.0,0.0
4.51,12.0,5.0,0.0,0.0
6.5,17.0,3.0,0.0,1.0
7.5,16.0,11.0,0.0,1.0
3.54,13.0,6.0,1.0,1.0
4.2,13.0,11.0,1.0,1.0
3.51,12.0,7.0,1.0,1.0
4.5,14.0,5.0,0.0,1.0
3.35,14.0,5.0,1.0,1.0
2.91,11.0,2.0,0.0,0.0
5.25,10.0,44.0,0.0,1.0
4.05,8.0,44.0,0.0,1.0
3.75,14.0,13.0,1.0,1.0
3.4,12.0,26.0,1.0,1.0
3.0,10.0,2.0,1.0,0.0
6.29,17.0,10.0,0.0,1.0
2.54,9.0,2.0,1.0,0.0
4.5,12.0,35.0,1.0,1.0
3.13,12.0,6.0,1.0,1.0
6.36,14.0,8.0,0.0,1.0
4.68,16.0,1.0,0.0,0.0
6.8,12.0,14.0,0.0,1.0
8.53,10.0,14.0,0.0,1.0
4.17,0.0,22.0,1.0,0.0
3.75,14.0,8.0,1.0,1.0
11.1,15.0,1.0,1.0,0.0
3.26,16.0,15.0,1.0,1.0
9.13,12.0,14.0,0.0,1.0
4.5,11.0,37.0,0.0,1.0
3.0,11.0,1.0,1.0,0.0
8.75,12.0,4.0,0.0,1.0
4.14,13.0,29.0,1.0,1.0
2.87,12.0,45.0,1.0,1.0
3.35,13.0,22.0,1.0,0.0
6.08,16.0,42.0,0.0,0.0
3.0,15.0,9.0,0.0,0.0
4.2,16.0,8.0,1.0,1.0
5.6,15.0,31.0,1.0,0.0
10.0,12.0,24.0,0.0,1.0
12.5,18.0,16.0,0.0,1.0
3.76,6.0,6.0,0.0,0.0
3.1,6.0,14.0,1.0,0.0
4.29,12.0,47.0,1.0,1.0
10.92,12.0,34.0,0.0,1.0
7.5,16.0,6.0,1.0,1.0
4.05,9.0,7.0,1.0,1.0
4.65,12.0,27.0,0.0,1.0
5.0,11.0,24.0,0.0,1.0
2.9,10.0,18.0,1.0,1.0
8.0,12.0,12.0,1.0,0.0
8.43,8.0,27.0,0.0,1.0
2.92,9.0,49.0,1.0,0.0
6.25,17.0,4.0,1.0,0.0
6.25,16.0,24.0,1.0,1.0
5.11,11.0,3.0,0.0,0.0
4.0,10.0,2.0,1.0,0.0
4.44,8.0,29.0,0.0,1.0
6.88,13.0,34.0,0.0,1.0
5.43,14.0,10.0,0.0,1.0
3.0,13.0,5.0,1.0,0.0
2.9,11.0,2.0,1.0,0.0
6.25,7.0,39.0,0.0,1.0
4.34,16.0,5.0,1.0,0.0
3.25,12.0,14.0,1.0,1.0
7.26,13.0,8.0,0.0,0.0
6.35,14.0,10.0,1.0,1.0
5.63,16.0,2.0,0.0,1.0
8.75,14.0,9.0,0.0,1.0
3.2,11.0,1.0,0.0,0.0
3.0,8.0,45.0,1.0,1.0
3.0,14.0,33.0,1.0,1.0
12.5,17.0,21.0,0.0,1.0
2.88,10.0,2.0,1.0,0.0
3.35,12.0,9.0,0.0,1.0
6.5,12.0,33.0,0.0,1.0
10.38,18.0,16.0,0.0,1.0
4.5,14.0,10.0,0.0,1.0
10.0,18.0,9.0,0.0,0.0
3.81,12.0,8.0,1.0,1.0
8.8,16.0,9.0,0.0,1.0
9.42,14.0,23.0,1.0,1.0
6.33,12.0,23.0,0.0,1.0
4.0,9.0,22.0,0.0,0.0
2.9,12.0,37.0,1.0,1.0
20.0,12.0,22.0,0.0,1.0
11.25,17.0,28.0,0.0,1.0
3.5,12.0,14.0,1.0,0.0
6.0,15.0,19.0,1.0,1.0
14.38,17.0,10.0,0.0,1.0
6.36,16.0,25.0,0.0,1.0
3.55,12.0,21.0,1.0,1.0
3.0,15.0,32.0,0.0,1.0
4.5,16.0,21.0,0.0,1.0
6.63,12.0,36.0,1.0,0.0
9.3,15.0,2.0,0.0,1.0
3.0,12.0,11.0,1.0,1.0
3.25,12.0,40.0,1.0,0.0
1.5,12.0,11.0,1.0,1.0
5.9,12.0,9.0,1.0,1.0
8.0,16.0,23.0,0.0,0.0
2.9,11.0,1.0,1.0,0.0
3.29,14.0,30.0,0.0,0.0
6.5,14.0,41.0,0.0,1.0
4.0,13.0,6.0,1.0,0.0
6.0,14.0,11.0,0.0,1.0
4.08,12.0,43.0,1.0,1.0
3.75,12.0,39.0,1.0,1.0
3.05,8.0,50.0,1.0,0.0
3.5,12.0,26.0,1.0,1.0
2.92,3.0,51.0,0.0,0.0
4.5,11.0,3.0,0.0,0.0
3.35,15.0,3.0,1.0,1.0
5.95,11.0,15.0,0.0,1.0
8.0,12.0,17.0,0.0,1.0
3.0,4.0,36.0,0.0,1.0
5.0,9.0,31.0,0.0,1.0
5.5,12.0,9.0,0.0,1.0
2.65,12.0,42.0,1.0,1.0
3.0,11.0,3.0,1.0,0.0
4.5,12.0,37.0,1.0,1.0
17.5,16.0,23.0,0.0,1.0
8.18,13.0,21.0,0.0,0.0
9.09,15.0,11.0,0.0,1.0
11.82,16.0,35.0,0.0,1.0
3.25,12.0,42.0,1.0,1.0
4.5,12.0,3.0,0.0,0.0
4.5,12.0,13.0,0.0,1.0
3.71,9.0,14.0,0.0,1.0
6.5,10.0,14.0,0.0,1.0
2.9,12.0,39.0,1.0,1.0
5.6,11.0,11.0,0.0,1.0
2.23,8.0,28.0,0.0,1.0
5.0,6.0,18.0,1.0,1.0
8.33,16.0,6.0,0.0,1.0
2.9,12.0,26.0,1.0,0.0
6.25,12.0,21.0,0.0,1.0
4.55,16.0,34.0,0.0,1.0
3.28,12.0,17.0,1.0,0.0
2.3,10.0,2.0,1.0,0.0
3.3,13.0,5.0,1.0,0.0
3.15,13.0,1.0,1.0,0.0
12.5,14.0,40.0,0.0,1.0
5.15,16.0,39.0,1.0,0.0
3.13,10.0,1.0,0.0,0.0
7.25,12.0,14.0,0.0,1.0
2.9,12.0,2.0,1.0,0.0
1.75,11.0,2.0,0.0,0.0
2.89,0.0,42.0,1.0,1.0
2.9,5.0,34.0,1.0,1.0
17.71,16.0,10.0,0.0,1.0
6.25,16.0,4.0,0.0,1.0
2.6,9.0,4.0,0.0,0.0
6.63,15.0,21.0,1.0,1.0
3.5,12.0,31.0,1.0,0.0
6.5,12.0,20.0,0.0,1.0
3.0,12.0,36.0,1.0,0.0
4.38,13.0,7.0,0.0,1.0
10.0,12.0,15.0,0.0,0.0
4.95,7.0,25.0,0.0,1.0
9.0,17.0,7.0,1.0,1.0
1.43,12.0,17.0,1.0,1.0
3.08,12.0,3.0,0.0,0.0
9.33,14.0,12.0,0.0,1.0
7.5,12.0,18.0,0.0,1.0
4.75,13.0,47.0,0.0,1.0
5.65,12.0,2.0,0.0,0.0
15.0,16.0,14.0,1.0,1.0
2.27,10.0,2.0,1.0,0.0
4.67,15.0,13.0,0.0,1.0
11.56,16.0,5.0,0.0,1.0
3.5,14.0,5.0,1.0,0.0
